year,name,country,city,time,overall_rank
2015,"Desisa, Lelisa",ETH,Ambo,2:09:17,1
2015,"Tsegay, Yemane Adhane",ETH,"Addis Ababa",2:09:48,2
2015,"Chebet, Wilson",KEN,Marakwet,2:10:22,3
2015,"Kipyego, Bernard",KEN,Eldoret,2:10:47,4
2015,"Korir, Wesley",KEN,Kitale,2:10:49,5
2016,"Hayle, Lemi Berhanu",ETH,"Addis Ababa",2:12:45,1
2016,"Desisa, Lelisa",ETH,Ambo,2:13:32,2
2016,"Tsegay, Yemane Adhane",ETH,"Addis Ababa",2:14:02,3
2016,"Korir, Wesley",KEN,Kitale,2:14:05,4
2016,"Lonyangata, Paul",KEN,Eldoret,2:15:45,5
2017,"Kirui, Geoffrey",KEN,Keringet,2:09:37,1
2017,"Rupp, Galen",USA,Portland,2:09:58,2
2017,"Osako, Suguru",JPN,Machida-City,2:10:28,3
2017,"Biwott, Shadrack",USA,"Mammoth Lakes",2:12:08,4
2017,"Chebet, Wilson",KEN,Marakwet,2:12:35,5
